,index,post_class,prob
1074,673,516,0.14285714285714285
1075,497,516,0.1111111111111111
1080,694,516,0.1111111111111111
1081,314,516,0.2
1085,388,516,0.125
1095,416,516,0.14285714285714285
1097,931,516,0.125
1100,129,516,0.125
1112,907,516,0.1111111111111111
1113,832,516,0.125
1116,696,516,0.2
1117,964,516,0.125
1120,154,516,0.16666666666666666
1130,804,516,0.125
1132,82,516,0.14285714285714285
1137,1036,516,0.125
1138,392,516,0.125
1143,896,516,0.125
1154,818,516,0.14285714285714285
1172,283,516,0.1111111111111111
1177,686,516,0.125
1236,460,468,0.10330578512396695
1393,627,468,0.15384615384615385
1414,14,468,0.10416666666666667
1429,415,468,0.10204081632653061
1491,7,468,0.10256410256410256
1503,543,468,0.11764705882352941
1508,680,468,0.11428571428571428
1514,571,468,0.125
1521,735,468,0.10714285714285714
1523,837,468,0.12121212121212122
1528,1025,468,0.1111111111111111
1583,638,468,0.14285714285714285
1585,272,468,0.14285714285714285
1593,153,468,0.125
1608,675,468,0.10526315789473684
1610,676,468,0.17647058823529413
1638,1008,468,0.125
1657,71,468,0.12
1661,759,468,0.14285714285714285
1665,520,468,0.1111111111111111
1668,768,468,0.11538461538461539
1669,430,468,0.10526315789473684
1699,950,468,0.1111111111111111
1710,238,468,0.125
1728,547,468,0.13333333333333333
1730,126,468,0.125
1732,183,468,0.1111111111111111
1735,1004,468,0.10526315789473684
1741,66,468,0.11764705882352941
1744,69,468,0.125
1746,459,468,0.11764705882352941
1760,1000,468,0.14285714285714285
1774,989,468,0.125
1776,1048,468,0.1111111111111111
1797,427,468,0.125
1806,620,468,0.10526315789473684
1808,110,468,0.13333333333333333
1816,634,468,0.14285714285714285
1818,961,468,0.125
1821,721,468,0.125
1822,1050,468,0.1111111111111111
1843,792,468,0.125
1851,956,468,0.11764705882352941
1860,813,468,0.14285714285714285
1862,49,468,0.125
1867,911,468,0.125
1868,338,468,0.11764705882352941
1875,847,468,0.14285714285714285
1883,746,468,0.1111111111111111
1885,797,468,0.11764705882352941
1886,132,468,0.1111111111111111
1891,869,468,0.125
1897,873,468,0.125
1900,1058,468,0.1111111111111111
1914,980,468,0.125
1928,623,468,0.14285714285714285
1929,263,468,0.25
1934,593,468,0.14285714285714285
1935,412,468,0.1111111111111111
1940,629,468,0.1111111111111111
1954,842,468,0.125
1957,858,468,0.125
1959,90,468,0.125
1960,384,468,0.125
1968,271,468,0.125
1969,96,468,0.125
1972,98,468,0.125
1975,322,468,0.125
1976,350,468,0.125
1979,413,468,0.125
1997,978,468,0.1111111111111111
2002,29,468,0.125
2005,401,468,0.1111111111111111
2007,253,468,0.125
2010,426,468,0.125
2013,854,468,0.2
2019,1012,468,0.125
2029,223,468,0.2
2031,527,468,0.14285714285714285
2034,147,468,0.25
2044,16,468,0.1111111111111111
2049,355,468,0.25
2050,557,468,0.125
2052,988,468,0.125
2056,270,468,0.125
2071,924,468,0.125
2074,335,468,0.1111111111111111
2080,564,468,0.125
2083,890,468,0.14285714285714285
2087,1041,468,0.125
2094,45,468,0.1111111111111111
2095,46,468,0.125
2096,880,468,0.125
2103,884,468,0.1111111111111111
2109,347,468,0.125
2112,215,468,0.125
2117,206,468,0.125
2118,207,468,0.125
2128,178,468,0.14285714285714285
2139,674,468,0.125
2147,1035,468,0.14285714285714285
2152,472,468,0.14285714285714285
2157,996,468,0.125
2160,794,468,0.125
2170,667,468,0.125
2187,473,468,0.125
2200,248,468,0.125
2202,945,468,0.1111111111111111
2204,258,468,0.14285714285714285
2206,757,468,0.125
2213,857,468,0.1111111111111111
2217,52,468,0.125
2240,831,468,0.16666666666666666
2249,387,468,0.1111111111111111
2252,150,468,0.125
2256,497,468,0.1111111111111111
2261,694,468,0.1111111111111111
2267,982,468,0.125
2268,399,468,0.125
2272,340,468,0.125
2280,381,468,0.125
2293,907,468,0.1111111111111111
2294,832,468,0.125
2300,190,468,0.14285714285714285
2302,693,468,0.125
2318,1036,468,0.125
2320,470,468,0.125
2322,999,468,0.125
2326,708,468,0.125
2328,366,468,0.1111111111111111
2331,1007,468,0.125
2332,690,468,0.125
2338,39,468,0.125
2341,40,468,0.25
2345,814,468,0.125
2349,174,468,0.125
2356,1042,468,0.125
2361,1,468,0.1111111111111111
2561,449,308,0.125
2566,699,308,0.10714285714285714
2668,203,308,0.12195121951219512
2669,652,308,0.14285714285714285
2672,7,308,0.10256410256410256
