,index,post_class,prob
6953,776,732,0.1
6971,319,732,0.1
6975,305,732,0.1
6976,429,732,0.1
6996,458,732,1.0
6997,921,732,0.1
7010,856,732,1.0
7026,769,732,0.1
7028,660,732,0.1
7029,178,732,0.1
7038,658,732,0.1
7051,643,732,0.1
7060,14,732,0.1
7077,675,732,0.1
7093,744,732,0.1
7108,219,732,0.1
7236,865,685,0.1
7273,816,685,0.1
7317,770,685,0.1
7465,414,685,0.1
7500,756,685,0.1
7507,177,685,0.1
7508,532,685,0.1
7511,778,685,0.1
7531,374,685,0.1
7532,544,685,0.1
7537,323,685,0.1
7546,651,685,0.1
7548,811,685,0.1
7551,406,685,0.1
7554,328,685,0.1
7607,11,685,0.1
7609,908,685,0.1
7643,652,685,0.1
7645,608,685,0.1
7669,642,685,0.1
7681,917,685,0.1
7703,728,685,0.1
7706,915,685,0.1
7727,225,685,0.1
7760,134,685,1.0
7971,44,913,0.1
8006,804,913,0.1
8010,389,913,0.1
8013,89,913,0.1
8082,723,913,0.1
8096,69,913,0.1
8127,281,913,0.1
8134,807,913,0.1
8136,372,913,0.1
8162,680,913,0.1
8169,157,913,0.1
8181,875,913,0.1
8183,180,913,0.1
8185,871,913,0.1
8191,407,913,0.1
8200,18,913,0.1
8207,504,913,0.1
8210,320,913,0.1
8214,224,913,0.1
8215,714,913,0.1
8216,50,913,0.1
8221,532,913,0.1
8230,66,913,0.1
8237,245,913,0.1
8238,68,913,0.1
8263,241,913,0.1
8301,438,913,0.1
8321,473,913,0.1
8322,908,913,0.1
8323,110,913,0.1
8329,138,913,0.1
8330,481,913,0.1
8338,490,913,0.1
8359,820,913,1.0
8376,40,913,0.1
8383,743,913,0.1
8452,769,913,0.1
8490,153,913,0.1
8515,734,913,0.1
8532,696,913,1.0
8552,779,913,0.1
8722,598,254,0.1
8910,484,254,0.1
8935,615,254,0.1
8991,122,254,0.1
8996,75,254,0.1
9106,116,254,0.1
9174,694,254,0.1
9240,762,254,0.1
9596,814,278,0.1
9633,504,278,0.1
9647,532,278,0.1
9661,838,278,0.1
9676,323,278,0.1
9875,199,278,0.1
9909,610,278,0.1
9941,734,278,0.1
9980,243,278,0.1
10134,746,757,0.1
10249,713,757,0.1
10315,641,757,0.1
10316,90,757,0.1
10351,586,757,0.1
10361,615,757,0.1
10416,862,757,0.1
10418,493,757,0.1
10461,908,757,0.1
10463,474,757,1.0
10483,25,757,0.1
10529,791,757,0.1
10574,376,757,0.1
10576,583,757,0.1
10580,860,757,0.1
10656,861,757,1.0
10690,897,757,0.1
10807,600,590,0.1
10845,60,590,0.1
10876,550,590,0.1
10886,513,590,0.1
10895,632,590,0.1
10918,347,590,0.1
10939,623,590,0.1
11010,852,590,0.1
11029,90,590,0.1
11052,18,590,0.1
11057,9,590,0.1
11080,139,590,0.1
11099,616,590,0.1
11100,32,590,0.1
11129,862,590,0.1
11134,587,590,0.1
11167,523,590,0.1
11168,34,590,1.0
11195,91,590,0.1
11197,494,590,1.0
11214,805,590,0.1
11239,88,590,0.1
11260,898,590,1.0
11276,451,590,0.1
11281,363,590,0.1
11294,565,590,1.0
11310,649,590,0.1
11323,644,590,0.1
11332,154,590,1.0
11381,812,590,0.1
11390,690,590,1.0
11521,369,662,0.1
11568,332,662,0.1
11580,345,662,0.1
11633,188,662,0.1
11772,504,662,0.1
11791,450,662,0.1
11801,764,662,0.1
11811,697,662,0.1
11823,39,662,0.1
11825,23,662,0.1
11914,130,662,0.1
11938,806,662,0.1
11960,250,662,0.1
11983,449,662,0.1
11985,146,662,0.1
12013,395,662,0.1
12054,736,662,0.1
12207,512,601,0.1
12249,44,601,0.1
12265,488,601,0.1
12288,389,601,0.1
12295,489,601,0.1
12321,632,601,0.1
12353,483,601,0.1
