,index,post_class,prob
824,816,616,0.1111111111111111
825,1152,616,0.1111111111111111
826,882,616,0.125
830,1066,616,0.14285714285714285
837,1133,616,0.125
838,363,616,0.125
843,939,616,0.125
845,25,616,0.125
849,1135,616,0.16666666666666666
852,965,616,0.1111111111111111
856,34,616,0.125
859,36,616,0.125
862,492,616,0.14285714285714285
872,40,616,0.125
873,618,616,0.125
876,666,616,0.125
877,397,616,0.25
881,664,616,0.5
883,80,616,0.16666666666666666
884,79,616,0.125
907,722,616,0.2
908,937,616,0.125
911,282,616,0.125
912,458,616,0.125
914,211,616,0.1111111111111111
918,72,616,0.14285714285714285
920,366,616,0.1111111111111111
922,567,616,0.125
923,1123,616,0.14285714285714285
927,658,616,0.14285714285714285
929,634,616,0.1111111111111111
930,689,616,0.25
931,401,616,0.3333333333333333
937,815,616,0.16666666666666666
941,223,616,0.125
943,224,616,0.1111111111111111
946,687,616,0.1111111111111111
956,236,616,0.16666666666666666
959,297,616,0.125
970,304,616,0.125
973,37,616,0.125
976,81,616,0.25
978,88,616,0.1111111111111111
982,424,616,0.1111111111111111
986,1042,616,0.125
997,825,616,0.16666666666666666
999,134,616,0.125
1002,868,616,0.14285714285714285
1006,1025,616,0.14285714285714285
1007,898,616,0.125
1010,598,616,0.16666666666666666
1013,269,616,0.25
1014,285,616,0.14285714285714285
1015,449,616,0.125
1016,270,616,0.1111111111111111
1018,1022,616,0.125
1021,135,616,0.3333333333333333
1022,112,616,0.125
1024,865,616,0.125
1026,770,616,0.14285714285714285
1030,258,616,0.16666666666666666
1031,1031,616,0.16666666666666666
1038,293,616,0.125
1041,832,616,0.14285714285714285
1043,455,616,0.14285714285714285
1044,479,616,0.14285714285714285
1055,841,616,0.125
1057,287,616,0.16666666666666666
1058,649,616,0.125
1059,845,616,0.14285714285714285
1060,998,616,0.1111111111111111
1063,801,616,0.125
1065,150,616,0.1111111111111111
1067,653,616,0.125
1068,992,616,0.14285714285714285
1073,48,616,0.14285714285714285
1075,904,616,0.16666666666666666
1081,158,616,0.14285714285714285
1083,229,616,0.25
1086,756,616,0.14285714285714285
1087,319,616,0.25
1088,758,616,0.125
1091,355,616,0.25
1093,528,616,0.125
1099,519,616,0.1111111111111111
1100,19,616,0.1111111111111111
1101,329,616,0.16666666666666666
1102,426,616,0.125
1105,59,616,0.125
1107,12,616,0.125
1108,1083,616,0.14285714285714285
1111,995,616,0.16666666666666666
1112,518,616,0.2
1115,731,616,0.125
1118,361,616,0.14285714285714285
1120,733,616,0.1111111111111111
1122,844,616,0.125
1123,170,616,0.1111111111111111
1125,164,616,0.125
1127,915,616,0.14285714285714285
1128,486,616,0.16666666666666666
1133,245,616,0.1111111111111111
1135,932,616,0.125
1136,383,616,0.14285714285714285
1137,488,616,0.16666666666666666
1138,192,616,0.125
1141,191,616,0.1111111111111111
1146,842,616,0.2
1147,796,616,0.125
1149,670,616,0.125
